title,description,category
The Shape of Things To Come (Science Fiction Classic),"In his renowned science fiction classic, 'The Shape of Things To Come,' H. G. Wells explores a future world reeling from the devastation of war and technological advancements. Through his vivid and imaginative narrative, Wells paints a compelling portrait of a society grappling with the consequences of progress and the potential for a brighter future. This novel is a thought-provoking commentary on the impact of science and technology on humanity, making it a timeless work that continues to resonate with readers today. Wells' writing style combines gripping storytelling with profound insights into human nature, creating a compelling read that keeps readers engaged from start to finish. 'The Shape of Things To Come' truly embodies the essence of classic science fiction literature, making it a must-read for fans of the genre and anyone interested in exploring the possibilities of the future.",Science Fiction
Science Fiction and Fantasy Literature Vol 2,"Science Fiction and Fantasy Literature, A Checklist, 1700-1974, Volume Two of Two, contains Contemporary Science Fiction Authors II.",Science Fiction
Science Fiction Film,Examines one of the most enduring genres of Hollywood cinema: the science fiction film.,Science Fiction
A Journey to the Centre of the Earth,"A JOURNEY TO THE CENTRE OF THE EARTH a classic science fiction novel by Jules Verne.Journey to the Center of the Earth (French: Voyage au centre de la Terre), also translated with the variant titles A Journey to the Centre of the Earth and A Journey to the Interior of the Earth), is a classic science fiction novel by Jules Verne. It was first published in 1864, then reissued in 1867 with a moderately revised and expanded text. Professor Otto Lidenbrock is the tale's central figure, an eccentric German scientist who believes there are volcanic tubes that reach to the very center of the Earth. He, his nephew Axel, and their Icelandic guide Hans rappel into Iceland's celebrated inactive volcano Snæfellsjökull, then contend with many dangers, including cave-ins, subpolar tornadoes, an underground ocean, and living prehistoric monsters from the Mesozoic and Cenozoic eras. (The 1867 revised text inserted additional prehistoric material in Chaps. 37-39.) Eventually the three explorers are spewed back to the surface by an active volcano, Stromboli, in southern Italy.The category of subterranean fiction existed well before Verne. However, his novel's distinction lay in its well-researched Victorian science and its inventive contribution to the science-fiction subgenre of time travel-Verne's innovation was the concept of a prehistoric realm still existing in the present world. Not surpisingly, Journey inspired many later authors. For example, Edgar Rice Burroughs explicitly acknowledged Verne's influence on his own Pellucidar series.",Science Fiction
Cyberspace/Cyberbodies/Cyberpunk,"How can we interpret cyberspace? What is the place of the embodied human agent in the virtual world? This innovative collection examines the emerging arena of cyberspace and the challenges it presents for the social and cultural forms of the human body. It shows how changing relations between body and technology offer new arenas for cultural representations. At the same time, the contributors examine the realities of human embodiment and the limits of virtual worlds. Topics examined include: technological body modifications, replacements and prosthetics; bodies in cyberspace, virtual environments and cyborg culture; cultural representations of technological embodiment in visual and literary productions; and cyberpunk science fiction as a pre-figurative social and cultural theory.",Science Fiction
The World Set Free,"A ""dystopian adventure story"" written in bygone days, with a sophistication today's ""adventure stories"" lack. The World Set Free by H G Wells is an example of classic science fiction first published in 1914 in the United Kingdom. A true book of value, a classic that continues to live on across the ages. Books from yesteryear have an artistic quality and a permanence often lacking in books from the modern era. You are sure to love this work. A fantasy novel of the finest type. A Glimpse Inside Karenin desired that he might dream alone for a little while before he returned to the cell in which he was to sleep. He was given relief for a pain that began to trouble him and wrapped warmly about with furs, for a great coldness was creeping over all things, and so they left him, and he sat for a long time watching the afterglow give place to the darkness of night. It seemed to those who had to watch over him unobtrusively lest he should be in want of any attention, that he mused very deeply. The white and purple peaks against the golden sky sank down into cold, blue remoteness, glowed out again and faded again, and the burning cressets of the Indian stars, that even the moonrise cannot altogether quench, began their vigil. The moon rose behind the towering screen of dark precipices to the east, and long before it emerged above these, its slanting beams had filled the deep gorges below with luminous mist and turned the towers and pinnacles of Lio Porgyul to a magic dreamcastle of radiance and wonder.... Synopsis The World Set Free is a novel written by Herbert George Wells in 1913 and published in 1914. The book is based on a prediction of a more destructive and uncontrollable sort of weapon than the world has seen to date. It had appeared first in serialised form with a different ending as A Prophetic Trilogy, consisting of three books: A Trap to Catch the Sun, The Last War in the World and The World Set Free. A frequent theme of Wells's work, as in his 1901 nonfiction book Anticipations, was the history of humans' mastery of power and energy through technological advance, seen as a determinant of human progress. The novel begins: ""The history of mankind is the history of the attainment of external power. Man is the tool-using, fire-making animal. ... Always down a lengthening record, save for a set-back ever and again, he is doing more."" (Many of the ideas Wells develops here found a fuller development when he wrote The Outline of History in 1918-1919.) The novel is dedicated ""To Frederick Soddy's Interpretation of Radium,"" a volume published in 1909. ""A beautiful reprint"" from Wombrook Publishing. We have taken every step possible to ensure the original quality of this book has been maintained to the be standard. This means that the text in this edition is unedited and unchanged from the author's original publication, preserving its earliest form for your enjoyment. This book is one of the best classic scifi novels of all time. Its words are arranged with such literary precision, in a way that is just not seen in science fiction from today. This title will make a brilliant gift for the classic SF lover in your life, or a magnificent addition to your current book collection. We are ready to post this book off to you today with all due haste, so that you can indulge in this title without delay. The World Set Free ◆ Original 1914 text ◆ A futuristic dystopian story ◆ 5 x 8 Inches ◆ Matte Cover ◆ White Paper",Science Fiction
THE SCARLET PLAGUE (Science Fiction Classic),"The Scarlet Plague is a post-apocalyptic tale set in 2073, sixty years after an uncontrollable epidemic, the Red Death, has depopulated the planet. James Howard Smith is one of the few survivors of the pre-plague era left alive in the San Francisco area, and he travels with his grandsons Edwin, Hoo-Hoo, and Hare-Lip, who live as primeval hunter-gatherers in a heavily depopulated world. Smith, whom they call ""Granser"", decides to tell them the story of the disease alternately referred to as scarlet plague, scarlet death, or red death. Jack London (1876-1916) was an American novelist, journalist, and social activist. His amazing life experience also includes being an oyster pirate, railroad hobo, gold prospector, sailor, war correspondent and much more. He wrote adventure novels & sea tales, stories of the Gold Rush, tales of the South Pacific and the San Francisco Bay area - most of which were based on or inspired by his own life experiences.",Science Fiction
The Mummy!,"""The Mummy!"" is a novel written by Jane C. Loudon which was published anonymously in 1827. It concerns the Egyptian mummy of Cheops, who is brought back to life in the year 2126. The novel describes a future filled with advanced technology, and was the first English-language story to feature a reanimated mummy. Unlike many early science fiction works, Loudon did not portray the future as her own day with only political changes. She filled her world with foreseeable changes in technology, society, and even fashion. Her social attitudes have resulted in the book being ranked among proto-feminist novels.",Science Fiction
Cyberpunk & Cyberculture,"Cyberpunk and Cyberculture explores the work of a wide range of writers- Acker, Cadigan, Rucker, Shierley, Sterling, Williams and, of course, Gibson - setting their work in the context of science fiction, other literary genres, genre cinema - from Metropolis to Terminator to The Matrix - and contemporary work on the culture of technology.",Science Fiction
Cyberpunk and Visual Culture,"Within the expansive mediascape of the 1980s and 1990s, cyberpunk’s aesthetics took firm root, relying heavily on visual motifs for its near-future splendor saturated in media technologies, both real and fictitious. As today’s realities look increasingly like the futures forecast in science fiction, cyberpunk speaks to our contemporary moment and as a cultural formation dominates our 21st century techno-digital landscapes. The 15 essays gathered in this volume engage the social and cultural changes that define and address the visual language and aesthetic repertoire of cyberpunk – from cybernetic organisms to light, energy, and data flows, from video screens to cityscapes, from the vibrant energy of today’s video games to the visual hues of comic book panels, and more. Cyberpunk and Visual Culture provides critical analysis, close readings, and aesthetic interpretations of exactly those visual elements that define cyberpunk today, moving beyond the limitations of merely printed text to also focus on the meaningfulness of images, forms, and compositions that are the heart and lifeblood of cyberpunk graphic novels, films, television shows, and video games.",Science Fiction
SPACE TO CREATE IN CHINESE SCIENCE FICTION.,"This study of Chinese science fiction will be of interest to students, SF fans, and even to those with a mere passing fancy of science fiction in the Middle Kingdom. The book is split into three main parts; firstly the development of Anglo-American and Chinese SF are compared - mainly for those who are new to the """"genre."""" Next, the """"unspoken"""" limiting guidelines for authors that no one can / will universally agree on are discussed. Also, historical case studies demonstrate why freedom to create is absolutely vital to the progressive developments of companies and even countries which also rings true for China's role in the 21st century. Finally, a sampling of 12 short stories by three major authors over the last forty years are examined for content that agrees with statements made about SF in China by experts in SF studies as well as authors themselves. All this helps even a novice in the subject to gain important insights into what it means to be an SF author in China.",Science Fiction
The First Men in the Moon,"... The reader may imagine it best if he will lie on the ground some warm summer's night and look between his upraised feet at the moon, but for some reason, probably because the absence of air made it so much more luminous, the moon seemed already considerably larger than it does from earth. The minutest details of it's surface were acutely clear. And since we did not see it through air, its outline was bright and sharp, there was no glow or halo about it, and the star-dust that covered the sky came right to its very margin, and marked the outline of its unilluminated part. And as I stood and stared at the moon between my feet, that perception of the impossible that had been with me off and on ever since our start, returned again with tenfold conviction. ...",Science Fiction
The World of Cyberpunk 2077 Deluxe Edition,"WELCOME TO NIGHT CITY! Explore an extensive examination of the rich lore of Cyberpunk 2077. This intricately assembled tome contains everything you need to know about the history, characters, and world of the long-awaited RPG from CD Projekt Red the creators of The Witcher video game series. This deluxe edition includes: An exclusive Night City map cover. A slipcase featuring Night City graffiti. Temporary Tattoos: show your alignment with any of Night City's varied, colorful gangs. Johnny Silverhand Poster: a memorial to the gone-but-not-forgotten superstar, Johnny Silverhand. Vehicle Postcards: Four postcards that each showcase a vehicle from one of Night City's diverse and unique lifestyles. An insightful, captivatingly designed, full-color hardcover that transports readers to the futuristic megalopolis of Night City--the epicenter of the vibrant new action-RPG from CD PROJECT RED. Step into a dark future where violence, oppression, and cyberware implants aren't just common--they're necessary tools to get ahead. Explore the various districts, gangs, and history of Night City. Learn all there is to know about the technology of tomorrow and research the cybernetics, weapons, and vehicles of Cyberpunk 2077.",Science Fiction
The Routledge Companion to Cyberpunk Culture,"In this companion, an international range of contributors examine the cultural formation of cyberpunk from micro-level analyses of example texts to macro-level debates of movements, providing readers with snapshots of cyberpunk culture and also cyberpunk as culture. With technology seamlessly integrated into our lives and our selves, and social systems veering towards globalization and corporatization, cyberpunk has become a ubiquitous cultural formation that dominates our twenty-first century techno-digital landscapes. The Routledge Companion to Cyberpunk Culture traces cyberpunk through its historical developments as a literary science fiction form to its spread into other media such as comics, film, television, and video games. Moreover, seeing cyberpunk as a general cultural practice, the Companion provides insights into photography, music, fashion, and activism. Cyberpunk, as the chapters presented here argue, is integrated with other critical theoretical tenets of our times, such as posthumanism, the Anthropocene, animality, and empire. And lastly, cyberpunk is a vehicle that lends itself to the rise of new futurisms, occupying a variety of positions in our regionally diverse reality and thus linking, as much as differentiating, our perspectives on a globalized technoscientific world. With original entries that engage cyberpunk’s diverse ‘angles’ and its proliferation in our life worlds, this critical reference will be of significant interest to humanities students and scholars of media, cultural studies, literature, and beyond.",Science Fiction
The War of the Worlds,"Herbert George ""H. G."" Wells (1866 -1946) Some of his early novels, called ""scientific romances"", invented several themes now classic in science fiction in such works as The Time Machine, The Island of Doctor Moreau, The Invisible Man, The War of the Worlds. H. G."" Wells (1866 -1946) was an English writer. He was prolific in many genres, including the novel, history, politics, social commentary, and textbooks and rules for war games. Wells is now best remembered for his science fiction novels and is called a ""father of science fiction""",Science Fiction
Men Like Gods,"Mr. Barnstaple is a journalist working in London and living in Sydenham. He has grown dispirited at a newspaper called The Liberal and resolves to take a holiday. Quitting wife and family, he finds his plans disrupted when his and two other automobiles are accidentally transported with their passengers into ""another world"", which the ""Earthlings"" call Utopia. A sort of advanced Earth, Utopia is some three thousand years ahead of humanity in its development.",Science Fiction
A Voyage to Arcturus,"This carefully crafted ebook: ""A Voyage to Arcturus"" is formatted for your eReader with a functional and detailed table of contents. A Voyage to Arcturus combines fantasy, philosophy, and science fiction in an exploration of the nature of good and evil and their relationship with existence. Described by critic and philosopher Colin Wilson as the ""greatest novel of the twentieth century"", it was a central influence on C. S. Lewis' Space Trilogy, and through him on J. R. R. Tolkien, who said he read the book ""with avidity"". An interstellar voyage is the framework for a narrative of a journey through fantastic landscapes. The story is set at Tormance, an imaginary planet orbiting Arcturus, which, in the novel (but not in reality) is a double star system, consisting of stars Branchspell and Alppain. The lands through which the characters travel represent philosophical systems or states of mind, through which the main character, Maskull, passes on his search for the meaning of life. David Lindsay was an author now best remembered for the philosophical science fiction novel A Voyage to Arcturus. The secret of Lindsay's originality as a novelist lies in his metaphysical assumptions.",Science Fiction
Pebble in the Sky,"One moment Joseph Schwartz is a happily retired tailor in 1949 Chicago. The next he's a helpless stranger on Earth during the heyday of the first Galactic Empire. Earth, he soon learns, is a backwater, just a pebble in the sky, despised by all the other 200 million planets of the Empire because its people dare to claim it's the original home of man. And Earth is poor, with great areas of radioactivity ruining much of its soil - so poor that everyone is sentenced to death at the age of sixty. Joseph Schwartz is sixty-two. This is young Isaac Asimov's first novel, full of wonders and ideas, the book that launched the novels of the Galactic Empire, culminating in the Foundation books and novels.",Science Fiction
Edison's Conquest of Mars (Sci-Fi Classic),"This eBook has been formatted to the highest digital standards and adjusted for readability on all devices. The book features Thomas Edison. Set after the devastating Martian attack in the previous story, the novel depicts Edison leading a group of scientists to develop ships and weapons, including a disintegration ray, for the defense of Earth.",Science Fiction
Isaac Asimov,"Although he wrote hundreds of non-fiction works about science, mathematics, history, the Bible and literature, Asimov is best known as a science-fiction writer. Gunn analyses his bestsellers and his contribution to the genre.",Science Fiction
Italian Science Fiction,"This book explores Italian science fiction from 1861, the year of Italy’s unification, to the present day, focusing on how this genre helped shape notions of Otherness and Normalness. In particular, Italian Science Fiction draws upon critical race studies, postcolonial theory, and feminist studies to explore how migration, colonialism, multiculturalism, and racism have been represented in genre film and literature. Topics include the role of science fiction in constructing a national identity; the representation and self-representation of “alien” immigrants in Italy; the creation of internal “Others,” such as southerners and Roma; the intersections of gender and race discrimination; and Italian science fiction’s transnational dialogue with foreign science fiction. This book reveals that though it is arguably a minor genre in Italy, science fiction offers an innovative interpretive angle for rethinking Italian history and imagining future change in Italian society.",Science Fiction
The Visual Encyclopedia of Science Fiction,"A visually appealing compendium of SF into contains views on major themes by notable writers, a history of the genre, notes on fandom, science fiction art, movie tie-ins, and much more.",Science Fiction
The Island of Doctor Moreau (1896),"The Island of Doctor Moreau is an 1896 science fiction novel by English author H. G. Wells. The text of the novel is the narration of Edward Prendick, a shipwrecked man rescued by a passing boat who is left on the island home of Doctor Moreau, a mad scientist who creates human-like hybrid beings from animals via vivisection. The novel deals with a number of philosophical themes, including pain and cruelty, moral responsibility, human identity, and human interference with nature. Wells described it as ""an exercise in youthful blasphemy.""The Island of Doctor Moreau is a classic of early science fiction[4] and remains one of Wells' best-known books. The novel is the earliest depiction of the science fiction motif ""uplift"" in which a more advanced race intervenes in the evolution of an animal species to bring the latter to a higher level of intelligence. It has been adapted to film and other media on many occasions, with Charles Laughton (1933), Burt Lancaster (1977), and Marlon Brando (1996) as the mad doctor",Science Fiction
Critical Theory and Science Fiction,"Selected by Choice as an Outstanding Academic Book of the Year. This innovative cultural critique offers valuable insights into science fiction, thus enlarging our understanding of critical theory. Carl Freedman traces the fundamental and mostly unexamined relationships between the discourses of science fiction and critical theory, arguing that science fiction is (or ought to be) a privileged genre for critical theory. He asserts that it is no accident that the upsurge of academic interest in science fiction since the 1970s coincides with the heyday of literary theory, and that likewise science fiction is one of the most theoretically informed areas of the literary profession. Extended readings of novels by five of the most important modern science fiction authors illustrate the affinity between science fiction and critical theory, in each case concentrating on one major novel that resonates with concerns proper to critical theory. Freedman's five readings are: Solaris: Stanislaw Lem and the Structure of Cognition; The Dispossessed: Ursula LeGuin and the Ambiguities of Utopia; The Two of Them: Joanna Russ and the Violence of Gender; Stars in My Pocket Like Grains of Sand: Samuel Delany and the Dialectics of Difference; The Man in the High Castle: Philip K. Dick and the Construction of Realities.",Science Fiction
"The War of the Worlds ""Annotated"" Military Science Fiction","Herbert George Wells, better known as H. G. Wells, was an English writer best known for such science fiction novels as The Time Machine, The War of the Worlds, The Invisible Man and The Island of Doctor Moreau. He was a prolific writer of both fiction and non-fiction, and produced works in many different genres, including contemporary novels, history, and social commentary. He was also an outspoken socialist. His later works become increasingly political and didactic, and only his early science fiction novels are widely read today. Wells, along with Hugo Gernsback and Jules Verne, is sometimes referred to as ""The Father of Science Fiction"".",Science Fiction
Spacehounds of IPC (Sci-Fi Classic),"This eBook edition of ""Spacehounds of IPC (Sci-Fi Classic)"" has been formatted to the highest digital standards and adjusted for readability on all devices. When the Inter-Planetary Corporation's (IPC) crack liner, IPV Arcturus, took off on a routine flight to Mars, it turned out to be the beginning of an unexpected and long voyage. There had been too many reports of errors in ship's flight positions from the Check Stations and brilliant physicist Dr. Percival (""Steve"") Stevens is aboard the Arcturus on a fact-finding mission to find out what's really happening...",Science Fiction
A Companion to Science Fiction,"A Companion to Science Fiction assembles essays by aninternational range of scholars which discuss the contexts, themesand methods used by science fiction writers. This Companion conveys the scale and variety of sciencefiction. Shows how science fiction has been used as a means of debatingcultural issues. Essays by an international range of scholars discuss thecontexts, themes and methods used by science fiction writers. Addresses general topics, such as the history and origins ofthe genre, its engagement with science and gender, and nationalvariations of science fiction around the English-speakingworld. Maps out connections between science fiction, television, thecinema, virtual reality technology, and other aspects of theculture. Includes a section focusing on major figures, such as H.G.Wells, Arthur C. Clarke, and Ursula Le Guin. Offers close readings of particular novels, from MaryShelley’s Frankenstein to Margaret Atwood’sThe Handmaid’s Tale.",Science Fiction
"The War of the Worlds ""Annotated"" Science Fiction Anthologies","Herbert George Wells, better known as H. G. Wells, was an English writer best known for such science fiction novels as The Time Machine, The War of the Worlds, The Invisible Man and The Island of Doctor Moreau. He was a prolific writer of both fiction and non-fiction, and produced works in many different genres, including contemporary novels, history, and social commentary. He was also an outspoken socialist. His later works become increasingly political and didactic, and only his early science fiction novels are widely read today. Wells, along with Hugo Gernsback and Jules Verne, is sometimes referred to as ""The Father of Science Fiction"".",Science Fiction
Writing Science Fiction & Fantasy,"Do you dream of - Crossing the galaxies? Living in the far future? Entertaining millions with your imagination? This book can help make those dreams come true! Writing Science Fiction and Fantasy brings you expert advice on how to craft and market tales of the fantastic. Award-winning writers such as John Barnes, James Patrick Kelly, Norman Spinrad, Connie Willis, and Jane Yolen reveal some of their secrets of crafting believable stories, while Grand Masters Isaac Asimov and Robert A. Heinlein provide timeless advice for beginners and veterans alike. The editors also provide valuable insights into the process by which stories get published and they offer helpful hints on getting your story out of the slush pile and into print.",Science Fiction
Walter Tevis Sci-Fi Novels,"Three science fiction novels from the Nebula Award–nominated author of The Hustler and The Color of Money. The Man Who Fell to Earth After his home planet is devastated by war, an alien disguised as a human comes to Earth on a mission to save his people. He begins amassing wealth needed to build a spacecraft to bring his people to join him, but his plans get sidelined when he descends into alcoholism. Mockingbird On a post-apocalyptic Earth where humanity has suffered devastating losses, people are drugged from childhood on, there is no art, and reading is illegal. A suicidal machine runs the world, while the passion between two humans provides the only hope for humankind. The Steps of the Sun When the world’s richest man travels to the stars in search of the mineral wealth America needs to get it out of an energy crisis, he finds more than he bargains for—and gets more than he ever believed was possible . . . “Among the finest science fiction novels . . . . Just beneath the surface it might be read as a parable of the Fifties and of the Cold War. Beneath that as an evocation of existential loneliness, a Christian fable, a parable of the artist. Above all, perhaps, as the wisest, truest representation of alcoholism ever written.” —James Sallis, Fantasy & Science Fiction on The Man Who Fell to Earth “A moral tale that has elements of Aldous Huxley’s Brave New World, Superman, and Star Wars” —Los Angeles Times Book Review on Mockingbird “Engaging and effortlessly readable.” —Publishers Weekly on The Steps of the Sun",Science Fiction
"The War of the Worlds ""Annotated"" Post-Apocalyptic Science Fiction","Herbert George Wells, better known as H. G. Wells, was an English writer best known for such science fiction novels as The Time Machine, The War of the Worlds, The Invisible Man and The Island of Doctor Moreau. He was a prolific writer of both fiction and non-fiction, and produced works in many different genres, including contemporary novels, history, and social commentary. He was also an outspoken socialist. His later works become increasingly political and didactic, and only his early science fiction novels are widely read today. Wells, along with Hugo Gernsback and Jules Verne, is sometimes referred to as ""The Father of Science Fiction"".",Science Fiction
